Ville,Categorie,Difference de salaire (%)
Valensole,Profession,5.59
Valensole,Employé,6.98
Valensole,Ouvrier,4.81
Villeneuve,Cadre,3.11
Villeneuve,Profession,6.48
Villeneuve,Employé,4.67
Villeneuve,Ouvrier,4.59
Volx,Cadre,12.04
Volx,Profession,6.81
Volx,Employé,7.55
Volx,Ouvrier,5.61
L'Argentière-la-Bessée,Cadre,8.2
L'Argentière-la-Bessée,Profession,7.37
L'Argentière-la-Bessée,Employé,4.39
L'Argentière-la-Bessée,Ouvrier,7.69
La Bâtie-Neuve,Cadre,12.73
La Bâtie-Neuve,Profession,9.51
La Bâtie-Neuve,Employé,11.74
La Bâtie-Neuve,Ouvrier,13.99
Briançon,Cadre,1.56
Briançon,Profession,1.11
Briançon,Employé,2.02
Briançon,Ouvrier,9.64
Chorges,Cadre,13.91
Chorges,Profession,11.76
Chorges,Employé,3.16
Chorges,Ouvrier,10.58
Embrun,Cadre,7.49
Embrun,Profession,6.06
Embrun,Employé,1.0
Embrun,Ouvrier,6.93
Gap,Cadre,9.0
Gap,Profession,6.91
Gap,Employé,2.51
Gap,Ouvrier,13.98
Guillestre,Cadre,28.7
Guillestre,Profession,9.23
Guillestre,Employé,.51
Guillestre,Ouvrier,6.22
Laragne-Montéglin,Cadre,18.78
Laragne-Montéglin,Profession,9.3
Laragne-Montéglin,Employé,5.58
Laragne-Montéglin,Ouvrier,12.69
Saint-Bonnet-en-Champsaur,Cadre,14.81
Saint-Bonnet-en-Champsaur,Profession,5.47
Saint-Bonnet-en-Champsaur,Employé,1.54
Saint-Bonnet-en-Champsaur,Ouvrier,7.83
Tallard,Cadre,6.44
Tallard,Profession,5.84
Tallard,Employé,4.08
Tallard,Ouvrier,25.15
Veynes,Cadre,2.72
Veynes,Profession,6.27
Veynes,Employé,2.49
Veynes,Ouvrier,9.43
Antibes,Cadre,8.18
Antibes,Profession,4.73
Antibes,Employé,2.3
Antibes,Ouvrier,7.62
Auribeau-sur-Siagne,Cadre,10.42
Auribeau-sur-Siagne,Profession,9.52
Auribeau-sur-Siagne,Employé,4.39
Auribeau-sur-Siagne,Ouvrier,9.86
Le Bar-sur-Loup,Cadre,10.2
Le Bar-sur-Loup,Profession,8.57
Le Bar-sur-Loup,Employé,2.78
Le Bar-sur-Loup,Ouvrier,1.96
Beaulieu-sur-Mer,Cadre,15.18
Beaulieu-sur-Mer,Profession,4.05
Beaulieu-sur-Mer,Employé,4.46
Beaulieu-sur-Mer,Ouvrier,14.42
Beausoleil,Cadre,12.12
Beausoleil,Profession,2.42
Beausoleil,Employé,5.88
Beausoleil,Ouvrier,15.69
Biot,Cadre,14.04
Biot,Profession,9.26
Biot,Employé,.43
Biot,Ouvrier,9.77
Breil-sur-Roya,Cadre,5.94
Breil-sur-Roya,Profession,17.52
Breil-sur-Roya,Employé,1.46
Breil-sur-Roya,Ouvrier,12.87
Cagnes-sur-Mer,Cadre,8.19
Cagnes-sur-Mer,Profession,4.67
Cagnes-sur-Mer,Employé,2.78
Cagnes-sur-Mer,Ouvrier,7.18
Cannes,Cadre,11.25
Cannes,Profession,3.78
Cannes,Employé,1.87
Cannes,Ouvrier,11.11
Le Cannet,Cadre,10.2
Le Cannet,Profession,4.44
Le Cannet,Employé,2.3
Le Cannet,Ouvrier,10.34
Cap-d'Ail,Cadre,20.16
Cap-d'Ail,Profession,75.43
Cap-d'Ail,Employé,5.02
Cap-d'Ail,Ouvrier,7.98
Carros,Cadre,11.53
Carros,Profession,7.49
Carros,Employé,4.98
Carros,Ouvrier,7.41
Châteauneuf-Grasse,Cadre,17.65
Châteauneuf-Grasse,Profession,11.64
Châteauneuf-Grasse,Employé,3.64
Châteauneuf-Grasse,Ouvrier,9.91
La Colle-sur-Loup,Cadre,17.88
La Colle-sur-Loup,Profession,11.83
La Colle-sur-Loup,Employé,3.06
La Colle-sur-Loup,Ouvrier,7.98
Colomars,Cadre,6.2
Colomars,Profession,10.03
Colomars,Employé,4.27
Colomars,Ouvrier,8.93
Contes,Cadre,12.93
Contes,Profession,8.55
Contes,Employé,4.59
Contes,Ouvrier,11.52
Drap,Cadre,7.91
Drap,Profession,8.89
Drap,Employé,.96
Drap,Ouvrier,13.21
L'Escarène,Cadre,13.99
L'Escarène,Profession,7.17
L'Escarène,Employé,7.56
L'Escarène,Ouvrier,16.35
Èze,Cadre,19.69
Èze,Profession,10.74
Èze,Employé,6.31
Èze,Ouvrier,2.13
Gattières,Cadre,10.13
Gattières,Profession,8.78
Gattières,Employé,.0
Gattières,Ouvrier,5.73
La Gaude,Cadre,15.83
La Gaude,Profession,17.28
La Gaude,Employé,5.58
La Gaude,Ouvrier,6.61
Grasse,Cadre,11.72
Grasse,Profession,4.5
Grasse,Employé,2.35
Grasse,Ouvrier,7.98
Levens,Cadre,7.38
Levens,Profession,9.39
Levens,Employé,7.83
Levens,Ouvrier,4.27
Mandelieu-la-Napoule,Cadre,14.53
Mandelieu-la-Napoule,Profession,3.4
Mandelieu-la-Napoule,Employé,4.11
Mandelieu-la-Napoule,Ouvrier,6.48
Menton,Cadre,10.84
Menton,Profession,6.09
Menton,Employé,2.46
Menton,Ouvrier,12.04
Mouans-Sartoux,Cadre,17.48
Mouans-Sartoux,Profession,6.41
Mouans-Sartoux,Employé,1.3
Mouans-Sartoux,Ouvrier,9.62
Mougins,Cadre,15.65
Mougins,Profession,4.55
Mougins,Employé,3.03
Mougins,Ouvrier,7.98
Nice,Cadre,9.45
Nice,Profession,5.48
Nice,Employé,1.9
Nice,Ouvrier,10.34
Opio,Cadre,25.47
Opio,Profession,5.92
Opio,Employé,1.37
Opio,Ouvrier,12.33
Pégomas,Cadre,8.69
Pégomas,Profession,5.19
Pégomas,Employé,6.19
Pégomas,Ouvrier,8.84
Peille,Cadre,13.72
Peille,Profession,4.58
Peille,Employé,5.56
Peille,Ouvrier,5.98
Peymeinade,Cadre,16.89
Peymeinade,Profession,5.33
Peymeinade,Employé,4.15
Peymeinade,Ouvrier,7.56
Roquebrune-Cap-Martin,Cadre,9.34
Roquebrune-Cap-Martin,Profession,1.04
Roquebrune-Cap-Martin,Employé,4.19
Roquebrune-Cap-Martin,Ouvrier,10.89
Roquefort-les-Pins,Cadre,17.72
Roquefort-les-Pins,Profession,10.45
Roquefort-les-Pins,Employé,2.18
Roquefort-les-Pins,Ouvrier,12.55
La Roquette-sur-Siagne,Cadre,11.64
La Roquette-sur-Siagne,Profession,13.16
La Roquette-sur-Siagne,Employé,9.32
La Roquette-sur-Siagne,Ouvrier,12.56
Le Rouret,Cadre,14.24
Le Rouret,Profession,6.83
Le Rouret,Employé,2.95
Le Rouret,Ouvrier,1.68
Saint-André-de-la-Roche,Cadre,3.62
Saint-André-de-la-Roche,Profession,5.41
Saint-André-de-la-Roche,Employé,4.19
Saint-André-de-la-Roche,Ouvrier,7.55
Saint-Cézaire-sur-Siagne,Cadre,14.64
Saint-Cézaire-sur-Siagne,Profession,6.49
Saint-Cézaire-sur-Siagne,Employé,3.96
Saint-Cézaire-sur-Siagne,Ouvrier,11.5
Saint-Jeannet,Cadre,15.08
Saint-Jeannet,Profession,4.59
Saint-Jeannet,Employé,3.48
Saint-Jeannet,Ouvrier,4.55
Saint-Laurent-du-Var,Cadre,9.05
Saint-Laurent-du-Var,Profession,7.79
